# The data in this file was extracted from a direct numerical
# simulation of fully developed plane turbulent channel
# flow. Particulars are listed below. Note that some of the statistical
# quantities provided in this data set should be zero due to
# (statistical) symmetries in the flow. These quantities are reported
# here none-the-less as an indicator of the quality of the statistics.
# more statistics from this data set are available at 
# http://www.tam.uiuc.edu/Faculty/Moser/channel 
#
# Authors: Moser, Kim & Mansour
# Reference: DNS of Turbulent Channel Flow up to Re_tau=590, 1999,
#            Physics of Fluids, vol 11, 943-945.
# Numerical Method: Kim, Moin & Moser, 1987, J. Fluid Mech. vol 177, 133-166 
# Re_tau = 392.24
# Normalization: U_tau, h 
# Description: Mean velocities and their derivatives and mean pressure 
# Filename: chan395/profiles/chan395.means 
# Date File Created: Mar 01, 2000 
#
#---End of Header---
# 
# ny = 257,  Re = 392.24
  
       y+               u+              k+            R_uv   
   2.3770000e+02   1.9092000e+01   1.0936440e+00  -3.7835000e-01
   2.4214000e+02   1.9148000e+01   1.0678120e+00  -3.6810000e-01
   2.4660000e+02   1.9202000e+01   1.0421000e+00  -3.5761000e-01
   2.5108000e+02   1.9256000e+01   1.0168480e+00  -3.4695000e-01
   2.5558000e+02   1.9308000e+01   9.9239200e-01  -3.3621000e-01
   2.6010000e+02   1.9359000e+01   9.6878400e-01  -3.2544000e-01
   2.6464000e+02   1.9408000e+01   9.4616000e-01  -3.1468000e-01
   2.6920000e+02   1.9456000e+01   9.2450800e-01  -3.0393000e-01
   2.7378000e+02   1.9503000e+01   9.0340000e-01  -2.9315000e-01
   2.7838000e+02   1.9548000e+01   8.8240400e-01  -2.8231000e-01
   2.8300000e+02   1.9593000e+01   8.6109600e-01  -2.7133000e-01
   2.8763000e+02   1.9636000e+01   8.3969200e-01  -2.6019000e-01
   2.9227000e+02   1.9678000e+01   8.1855600e-01  -2.4893000e-01
   2.9694000e+02   1.9719000e+01   7.9805200e-01  -2.3753000e-01
   3.0161000e+02   1.9758000e+01   7.7846400e-01  -2.2605000e-01
   3.0630000e+02   1.9796000e+01   7.5992000e-01  -2.1462000e-01
   3.1101000e+02   1.9832000e+01   7.4242400e-01  -2.0326000e-01
   3.1572000e+02   1.9865000e+01   7.2589600e-01  -1.9188000e-01
   3.2045000e+02   1.9897000e+01   7.1023600e-01  -1.8043000e-01
   3.2519000e+02   1.9927000e+01   6.9548000e-01  -1.6898000e-01
   3.2993000e+02   1.9955000e+01   6.8147600e-01  -1.5752000e-01
   3.3469000e+02   1.9981000e+01   6.6802000e-01  -1.4601000e-01
   3.3946000e+02   2.0004000e+01   6.5510000e-01  -1.3442000e-01
   3.4423000e+02   2.0026000e+01   6.4269600e-01  -1.2272000e-01
   3.4901000e+02   2.0046000e+01   6.3094000e-01  -1.1094000e-01
   3.5380000e+02   2.0064000e+01   6.2006000e-01  -9.9120000e-02
   3.5859000e+02   2.0080000e+01   6.1016400e-01  -8.7301000e-02
   3.6339000e+02   2.0094000e+01   6.0129200e-01  -7.5441000e-02
   3.6819000e+02   2.0106000e+01   5.9348000e-01  -6.3452000e-02
   3.7300000e+02   2.0116000e+01   5.8674400e-01  -5.1252000e-02
   3.7781000e+02   2.0123000e+01   5.8119200e-01  -3.8772000e-02
   3.8262000e+02   2.0129000e+01   5.7698000e-01  -2.6001000e-02
   3.8743000e+02   2.0132000e+01   5.7434800e-01  -1.3031000e-02
   3.9224000e+02   2.0133000e+01   5.7345200e-01   0.0000000e+00
